segment,bets,wins,stake,profit,avg_probability,avg_odds,dimension,winrate,roi,recommendation
football,1050,350,1050.0,-14.600000000000001,0.33333266666666667,3.5420857142857116,category,0.3333333333333333,-0.013904761904761906,REDUCE
tennis,1400,700,1400.0,0.0,0.5,,category,0.5,0.0,KEEP
Away Win,350,112,350.0,-10.78,0.31517485714285715,3.912257142857146,market,0.32,-0.030799999999999998,REDUCE
Draw,350,93,350.0,27.75,0.24770285714285714,4.063657142857143,market,0.26571428571428574,0.07928571428571428,REDUCE
Home Win,350,145,350.0,-31.57,0.4371202857142857,2.6503428571428596,market,0.4142857142857143,-0.0902,REDUCE
Player 1 Win,700,350,700.0,0.0,0.49656371428571433,,market,0.5,0.0,KEEP
Player 2 Win,700,350,700.0,0.0,0.5034362857142857,,market,0.5,0.0,KEEP
BACKTEST,1400,700,1400.0,0.0,0.5,,bet_mode,0.5,0.0,KEEP
FAVORI SOLIDE,7,4,7.0,-2.04,0.7589571428571429,1.2328571428571427,bet_mode,0.5714285714285714,-0.2914285714285714,KEEP
NO BET,585,191,585.0,-68.81,0.3333032478632479,3.1980512820512805,bet_mode,0.3264957264957265,-0.11762393162393163,REDUCE
SAFE PICK,1,1,1.0,0.6499999999999999,0.6325,1.65,bet_mode,1.0,0.6499999999999999,KEEP
WATCHLIST,457,154,457.0,55.6,0.3261962800875273,4.021991247264772,bet_mode,0.33698030634573306,0.12166301969365427,REDUCE
historical-backtest,1050,350,1050.0,-14.600000000000001,0.33333266666666667,3.5420857142857116,odds_source,0.3333333333333333,-0.013904761904761906,REDUCE
tennis-model-backtest,1400,700,1400.0,0.0,0.5,,odds_source,0.5,0.0,KEEP
